t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0200, 2.5754, -1.6571, 0.0022, 0.0199, 0.0396, -824.96, -1616.25
0.0400, 2.3609, -1.5376, 0.0022, 0.0184, 0.0146, -824.99, -1951.29
0.0600, 2.3609, -1.5376, 0.0022, 0.0184, 0.0054, -825.00, -1383.76
0.0800, 2.3609, -1.5376, 0.0022, 0.0184, 0.0020, -825.00, -2595.78
0.1000, 2.3609, -1.5376, 0.0022, 0.0184, 0.0007, -825.00, -1899.51
0.1200, 2.3603, -1.3144, 0.0000, 0.0169, -0.0983, -825.00, -919.69
0.1400, 2.3603, -1.3144, 0.0000, 0.0169, -0.0361, -825.00, -3421.08
0.1600, 2.3603, -1.3144, 0.0000, 0.0169, -0.0133, -825.00, -2441.25
0.1800, 2.1457, -1.1949, 0.0000, 0.0153, -0.0049, -825.00, 1091.64
0.2000, 2.3597, -1.0912, -0.0022, 0.0153, -0.0507, -825.00, -1719.20
0.2200, 2.1451, -0.9717, -0.0022, 0.0138, -0.0187, -825.01, 704.73
0.2400, 2.1451, -0.9717, -0.0022, 0.0138, -0.0069, -825.00, 111.61
0.2600, 2.3591, -0.8680, -0.0044, 0.0138, -0.1011, -825.00, 1968.32
0.2800, 2.3591, -0.8680, -0.0044, 0.0138, -0.0372, -825.00, -2673.54
0.3000, 2.1445, -0.7485, -0.0044, 0.0123, -0.0137, -825.00, 1091.44
0.3200, 2.1445, -0.7485, -0.0044, 0.0123, -0.0050, -825.00, -610.54
0.3400, 2.1445, -0.7485, -0.0044, 0.0123, -0.0018, -825.00, 833.56
0.3600, 2.3585, -0.6448, -0.0065, 0.0123, -0.0496, -825.00, 1684.55
0.3800, 2.3585, -0.6448, -0.0065, 0.0123, -0.0182, -825.00, -2157.79
0.4000, 2.3585, -0.6448, -0.0065, 0.0123, -0.0067, -825.00, 1117.23
0.4200, 2.1439, -0.5253, -0.0065, 0.0107, -0.0025, -825.00, 369.39
0.4400, 2.1439, -0.5253, -0.0065, 0.0107, -0.0009, -825.00, -1332.59
0.4600, 2.1439, -0.5253, -0.0065, 0.0107, -0.0003, -825.00, 1065.65
0.4800, 2.3579, -0.4216, -0.0087, 0.0107, -0.0731, -825.00, -1874.23
0.5000, 2.3579, -0.4216, -0.0087, 0.0107, -0.0269, -825.00, -1771.08
0.5200, 2.3579, -0.4216, -0.0087, 0.0107, -0.0099, -825.00, -1848.34
0.5400, 2.3579, -0.4216, -0.0087, 0.0107, -0.0036, -825.00, -3215.08
0.5600, 2.3579, -0.4216, -0.0087, 0.0107, -0.0013, -825.00, -146.36
0.5800, 2.3579, -0.4216, -0.0087, 0.0107, -0.0005, -825.00, -1410.05
0.6000, 2.3579, -0.4216, -0.0087, 0.0107, -0.0002, -825.00, 1297.64
0.6200, 2.3579, -0.4216, -0.0087, 0.0107, -0.0001, -825.00, -816.94
0.6400, 2.5724, -0.5411, -0.0087, 0.0123, -0.0000, -825.00, 1787.70
0.6600, 2.5724, -0.5411, -0.0087, 0.0123, -0.0000, -825.00, -3447.17
0.6800, 2.5724, -0.5411, -0.0087, 0.0123, -0.0000, -825.00, -3086.14
0.7000, 2.5724, -0.5411, -0.0087, 0.0123, -0.0000, -825.00, -3859.77
0.7200, 2.5724, -0.5411, -0.0087, 0.0123, -0.0000, -825.00, 678.84
0.7400, 2.3585, -0.6448, -0.0065, 0.0123, 0.0443, -825.00, 2329.24
0.7600, 2.3585, -0.6448, -0.0065, 0.0123, 0.0163, -825.00, -3756.72
0.7800, 2.3585, -0.6448, -0.0065, 0.0123, 0.0060, -825.00, 2097.05
0.8000, 2.3585, -0.6448, -0.0065, 0.0123, 0.0022, -825.00, 885.04
0.8200, 2.3585, -0.6448, -0.0065, 0.0123, 0.0008, -825.00, -120.68
0.8400, 2.3585, -0.6448, -0.0065, 0.0123, 0.0003, -825.00, -1538.99
0.8600, 2.1445, -0.7485, -0.0044, 0.0123, 0.0490, -825.00, -584.85
0.8800, 2.1445, -0.7485, -0.0044, 0.0123, 0.0180, -825.00, -1719.51
0.9000, 2.1445, -0.7485, -0.0044, 0.0123, 0.0066, -825.00, -2596.28
0.9200, 2.1445, -0.7485, -0.0044, 0.0123, 0.0024, -825.00, 1297.64
0.9400, 1.9305, -0.8522, -0.0022, 0.0123, 0.0901, -825.00, -3034.67
0.9600, 1.9305, -0.8522, -0.0022, 0.0123, 0.0331, -825.00, 1529.73
0.9800, 1.9305, -0.8522, -0.0022, 0.0123, 0.0122, -825.00, 2045.38
1.0000, 1.9305, -0.8522, -0.0022, 0.0123, 0.0045, -825.00, 704.42
1.0200, 1.7166, -0.9559, 0.0000, 0.0123, 0.1106, -825.00, -2983.20
1.0400, 1.7166, -0.9559, 0.0000, 0.0123, 0.0407, -825.00, -223.93
1.0600, 1.7166, -0.9559, 0.0000, 0.0123, 0.0150, -825.00, -2647.96
1.0800, 1.7166, -0.9559, 0.0000, 0.0123, 0.0055, -825.00, -3266.86
1.1000, 1.5026, -1.0596, 0.0022, 0.0123, 0.0681, -825.00, 1710.14
1.1200, 1.5026, -1.0596, 0.0022, 0.0123, 0.0250, -825.00, -2802.68
1.1400, 1.7172, -1.1791, 0.0022, 0.0138, 0.0092, -824.99, -2054.84
1.1600, 1.7172, -1.1791, 0.0022, 0.0138, 0.0034, -825.00, 601.27
1.1800, 1.5032, -1.2828, 0.0044, 0.0138, 0.0819, -825.00, -1951.69
1.2000, 1.5032, -1.2828, 0.0044, 0.0138, 0.0301, -825.00, 1606.99
1.2200, 1.5032, -1.2828, 0.0044, 0.0138, 0.0111, -825.00, -2183.78
1.2400, 1.5032, -1.2828, 0.0044, 0.0138, 0.0041, -825.00, -2493.23
1.2600, 1.5032, -1.2828, 0.0044, 0.0138, 0.0015, -825.00, -662.32
1.2800, 1.5032, -1.2828, 0.0044, 0.0138, 0.0006, -825.00, 1013.87
1.3000, 1.2892, -1.3865, 0.0065, 0.0138, 0.0600, -825.00, -3447.37
1.3200, 1.5038, -1.5060, 0.0065, 0.0153, 0.0221, -824.99, 2354.83
1.3400, 1.5038, -1.5060, 0.0065, 0.0153, 0.0081, -825.00, -2751.11
1.3600, 1.5038, -1.5060, 0.0065, 0.0153, 0.0030, -825.00, 807.57
1.3800, 1.5038, -1.5060, 0.0065, 0.0153, 0.0011, -825.00, -1307.01
1.4000, 1.5038, -1.5060, 0.0065, 0.0153, 0.0004, -825.00, -559.17
1.4200, 1.5038, -1.5060, 0.0065, 0.0153, 0.0001, -825.00, -2673.75
1.4400, 1.5038, -1.5060, 0.0065, 0.0153, 0.0001, -825.00, -3911.55
1.4600, 1.5038, -1.5060, 0.0065, 0.0153, 0.0000, -825.00, 988.09
1.4800, 1.2898, -1.6097, 0.0087, 0.0153, 0.0661, -825.00, 859.15
1.5000, 1.2898, -1.6097, 0.0087, 0.0153, 0.0243, -825.00, -3756.82
1.5200, 1.2898, -1.6097, 0.0087, 0.0153, 0.0089, -825.00, 2045.38
1.5400, 1.2898, -1.6097, 0.0087, 0.0153, 0.0033, -825.00, -3576.31
1.5600, 1.2898, -1.6097, 0.0087, 0.0153, 0.0012, -825.00, 1968.01
1.5800, 1.2898, -1.6097, 0.0087, 0.0153, 0.0004, -825.00, -352.87
1.6000, 1.2898, -1.6097, 0.0087, 0.0153, 0.0002, -825.00, -481.80
1.6200, 1.2898, -1.6097, 0.0087, 0.0153, 0.0001, -825.00, 1710.14
1.6400, 1.2898, -1.6097, 0.0087, 0.0153, 0.0000, -825.00, -2441.66
1.6600, 1.2898, -1.6097, 0.0087, 0.0153, 0.0000, -825.00, 2432.19
