t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.02,14.5803,3.0386,-0.1091,0.0276,-2.586,-824.94,-455.41
0.04,14.3655,3.1583,-0.1091,0.0261,-0.9509,-824.98,1248.28
0.06,13.9358,3.3976,-0.1091,0.023,-0.3497,-825,-1380.54
0.08,13.5061,3.6369,-0.1091,0.0199,-0.1286,-825.01,-3210.85
0.1,12.6472,3.892,-0.1069,0.0153,0.0126,-825.02,-3598.07
0.12,12.0027,4.251,-0.1069,0.0107,0.0046,-825.02,-2077.11
0.14,10.7147,4.5219,-0.1025,0.0046,0.1551,-825.03,-3599.08
0.16,9.8559,4.777,-0.1004,0,0.1557,-825.03,2022.11
0.18,8.7822,5.1517,-0.0982,-0.0061,0.1381,-825.03,-634.51
0.2,7.4943,5.4226,-0.0938,-0.0123,0.2093,-825.03,628.57
0.22,6.2063,5.6935,-0.0894,-0.0184,0.2522,-825.03,-3755.81
0.24,4.9184,5.9644,-0.0851,-0.0245,0.2576,-825.03,-3163.1
0.26,3.6304,6.2354,-0.0807,-0.0307,0.2439,-825.03,-2647.76
0.28,2.3431,6.2828,-0.0742,-0.0353,0.3209,-825.03,-2777
0.3,1.0557,6.3302,-0.0676,-0.0399,0.362,-825.02,1451.86
0.32,-0.0173,6.4814,-0.0633,-0.0445,0.2823,-825.02,1322.52
0.34,-1.3047,6.5288,-0.0567,-0.0491,0.2888,-825.02,7.05
0.36,-2.5914,6.3528,-0.048,-0.0522,0.4003,-825.02,290.41
0.38,-3.4491,6.1609,-0.0415,-0.0537,0.3731,-825.01,-2391.69
0.4,-4.521,5.8651,-0.0327,-0.0552,0.4507,-825.01,-3165.52
0.42,-5.3786,5.6732,-0.0262,-0.0568,0.3917,-825.01,-3784.62
0.44,-6.0214,5.3617,-0.0196,-0.0568,0.3485,-825,1733.71
0.46,-6.6635,4.8267,-0.0109,-0.0552,0.3984,-825,-2933.84
0.48,-7.0915,4.3955,-0.0044,-0.0537,0.351,-824.99,-3888.08
0.5,-7.5188,3.7408,0.0044,-0.0506,0.3994,-824.99,934.19
0.52,-7.9461,3.0861,0.0131,-0.0476,0.4519,-824.98,-1902.44
0.54,-8.1592,2.5352,0.0196,-0.0445,0.3998,-824.98,-2547.02
0.56,-8.1574,1.8647,0.0262,-0.0399,0.3515,-824.98,-1721.72
0.58,-8.1556,1.1943,0.0327,-0.0353,0.3142,-824.98,908.71
0.6,-8.1532,0.3003,0.0415,-0.0291,0.4096,-824.97,1553.5
0.62,-8.1514,-0.3702,0.048,-0.0245,0.4004,-824.97,-2727.03
0.64,-7.7205,-1.0565,0.0524,-0.0184,0.2964,-824.97,754.39
0.66,-7.5038,-1.8467,0.0589,-0.0123,0.3182,-824.97,-3629.29
0.68,-6.8581,-2.6526,0.0633,-0.0046,0.252,-824.96,-3990.12
0.7,-6.4272,-3.3389,0.0676,0.0015,0.2101,-824.97,-2313.73
0.72,-5.9962,-4.0252,0.072,0.0077,0.1877,-824.97,1348.31
0.74,-5.3505,-4.8312,0.0764,0.0153,0.1942,-824.96,-869.22
0.76,-4.7053,-5.4136,0.0785,0.0215,0.1313,-824.97,7.76
0.78,-4.2744,-6.0999,0.0829,0.0276,0.2017,-824.97,-3112.34
0.8,-3.415,-6.5785,0.0829,0.0337,0.0742,-824.97,-636.53
