t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0200, 2.0000, 1.0000, 0.1047, 0.3145, 2.2679, -824.36, -3008.78
0.0400, 2.0000, 1.0000, 0.1069, 0.3145, 0.9327, -824.76, 1143.01
0.0600, 2.0000, 1.0000, 0.1069, 0.3145, 0.3430, -824.91, -3704.95
0.0800, 2.0000, 1.0000, 0.1069, 0.3145, 0.1261, -824.97, 1839.38
0.1000, 2.0000, 1.0000, 0.1069, 0.3145, 0.0464, -824.99, 292.12
0.1200, 2.0000, 1.0000, 0.1069, 0.3129, 0.0171, -825.00, -3859.67
0.1400, 2.0000, 1.0000, 0.1069, 0.3129, 0.0063, -825.00, -326.78
0.1600, 2.0000, 1.0000, 0.1091, 0.3129, 0.0565, -825.00, 2122.94
0.1800, 2.0000, 1.0000, 0.1091, 0.3129, 0.0208, -825.00, 420.96
0.2000, 2.0000, 1.0000, 0.1091, 0.3129, 0.0076, -825.00, 1736.13
0.2200, 2.0000, 1.0000, 0.1091, 0.3129, 0.0028, -825.00, -4091.86
0.2400, 2.0000, 1.0000, 0.1113, 0.3114, 0.0672, -825.00, -1177.87
0.2600, 2.0000, 1.0000, 0.1113, 0.3114, 0.0247, -825.00, 2277.66
0.2800, 2.0000, 1.0000, 0.1113, 0.3114, 0.0091, -825.00, 833.56
0.3000, 2.0000, 1.0000, 0.1134, 0.3114, 0.0841, -825.00, -3240.97
0.3200, 2.0000, 1.0000, 0.1134, 0.3114, 0.0309, -825.00, 2019.69
0.3400, 2.0000, 1.0000, 0.1134, 0.3114, 0.0114, -825.00, -2028.96
0.3600, 2.0000, 1.0000, 0.1156, 0.3114, 0.1133, -825.00, -1642.14
0.3800, 2.0000, 1.0000, 0.1156, 0.3114, 0.0417, -825.00, -3318.33
0.4000, 2.0000, 1.0000, 0.1156, 0.3114, 0.0153, -825.00, -533.28
0.4200, 2.0000, 1.0000, 0.1156, 0.3114, 0.0056, -825.00, 1864.96
0.4400, 2.0000, 1.0000, 0.1178, 0.3114, 0.0562, -825.00, -1771.08
0.4600, 2.0000, 1.0000, 0.1178, 0.3114, 0.0207, -825.00, -43.32
0.4800, 2.0000, 1.0000, 0.1178, 0.3114, 0.0076, -825.00, -842.73
0.5000, 2.0000, 1.0000, 0.1200, 0.3129, 0.0836, -825.00, 1993.90
0.5200, 2.0000, 1.0000, 0.1200, 0.3129, 0.0307, -825.00, -2596.28
0.5400, 2.0000, 1.0000, 0.1200, 0.3129, 0.0113, -825.00, -3473.06
0.5600, 2.0000, 1.0000, 0.1222, 0.3129, 0.0703, -825.00, -3550.42
0.5800, 2.0000, 1.0000, 0.1222, 0.3129, 0.0259, -825.00, 1091.34
0.6000, 2.0000, 1.0000, 0.1222, 0.3129, 0.0095, -825.00, -481.70
0.6200, 2.0000, 1.0000, 0.1244, 0.3129, 0.0766, -825.00, -1874.23
0.6400, 2.0000, 1.0000, 0.1244, 0.3129, 0.0282, -825.00, -43.32
0.6600, 2.0000, 1.0000, 0.1244, 0.3129, 0.0104, -825.00, 756.10
0.6800, 2.0000, 1.0000, 0.1265, 0.3129, 0.0637, -825.00, -2725.22
0.7000, 2.0000, 1.0000, 0.1265, 0.3129, 0.0234, -825.00, -868.52
0.7200, 2.0000, 1.0000, 0.1265, 0.3129, 0.0086, -825.00, -4091.96
0.7400, 2.0000, 1.0000, 0.1287, 0.3129, 0.0763, -825.00, -997.45
0.7600, 2.0000, 1.0000, 0.1287, 0.3129, 0.0280, -825.00, 1555.51
0.7800, 2.0000, 1.0000, 0.1287, 0.3129, 0.0103, -825.00, 652.95
0.8000, 2.0000, 1.0000, 0.1309, 0.3129, 0.0579, -825.00, -3498.85
0.8200, 2.0000, 1.0000, 0.1309, 0.3129, 0.0213, -825.00, 1632.88
0.8400, 2.0000, 1.0000, 0.1309, 0.3129, 0.0078, -825.00, 1349.21
0.8600, 2.0000, 1.0000, 0.1331, 0.3129, 0.0570, -825.00, -3369.91
0.8800, 2.0000, 1.0000, 0.1331, 0.3129, 0.0210, -825.00, 1194.49
0.9000, 2.0000, 1.0000, 0.1331, 0.3129, 0.0077, -825.00, 188.77
0.9200, 2.0000, 1.0000, 0.1353, 0.3129, 0.0570, -825.00, 1658.66
0.9400, 2.0000, 1.0000, 0.1353, 0.3129, 0.0210, -825.00, -430.13
0.9600, 2.0000, 1.0000, 0.1353, 0.3129, 0.0077, -825.00, 601.37
0.9800, 2.0000, 1.0000, 0.1374, 0.3129, 0.0518, -825.00, 2432.29
1.0000, 2.0000, 1.0000, 0.1374, 0.3129, 0.0191, -825.00, 446.65
1.0200, 2.0000, 1.0000, 0.1396, 0.3129, 0.1057, -825.00, -533.28
1.0400, 2.0000, 1.0000, 0.1396, 0.3129, 0.0389, -825.00, 1942.33
1.0600, 2.0000, 1.0000, 0.1396, 0.3129, 0.0143, -825.00, -2080.53
1.0800, 2.0000, 1.0000, 0.1418, 0.3129, 0.0784, -825.00, -2003.17
