t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0200, 0.0000, 8.0000, 0.0000, 13.5911, -0.0047, -796.84, -1178.07
0.0400, 0.0000, 8.0000, 0.0000, 13.5911, -0.0017, -814.64, -43.42
0.0600, 0.0000, 8.0000, 0.0000, 13.5911, -0.0006, -821.19, -3060.56
0.0800, 0.0000, 8.0000, 0.0000, 13.5911, -0.0002, -823.60, -2286.93
0.1000, 0.0000, 8.0000, 0.0000, 13.5911, -0.0001, -824.48, -2209.57
0.1200, 0.0000, 8.0000, 0.0000, 13.5911, -0.0000, -824.81, -146.57
0.1400, 0.0000, 8.0000, 0.0000, 13.5911, -0.0000, -824.93, -2054.84
0.1600, 0.0000, 8.0000, 0.0000, 13.5911, -0.0000, -824.97, -1539.09
0.1800, 0.0000, 8.0000, 0.0000, 13.5911, -0.0000, -824.99, -920.19
0.2000, 0.0000, 8.0000, 0.0000, 13.5911, -0.0000, -825.00, 1890.65
0.2200, 0.0000, 8.0000, 0.0000, 13.5926, -0.0000, -825.00, 1271.75
0.2400, 0.0000, 8.0000, 0.0000, 13.5926, -0.0000, -825.00, -1487.52
0.2600, 0.0000, 8.0000, 0.0000, 13.5926, -0.0000, -825.00, 1478.05
0.2800, 0.0000, 8.0000, 0.0000, 13.5926, -0.0000, -825.00, 1581.20
0.3000, 0.0000, 8.0000, 0.0000, 13.5926, -0.0000, -825.00, 1632.77
0.3200, 0.0000, 8.0000, 0.0000, 13.5941, -0.0000, -825.00, 2122.74
0.3400, 0.0000, 8.0000, 0.0000, 13.5941, -0.0000, -825.00, -971.77
0.3600, 0.0000, 8.0000, 0.0000, 13.5941, -0.0000, -825.00, 2071.16
0.3800, 0.0000, 8.0000, 0.0000, 13.5957, -0.0000, -825.00, -2338.51
0.4000, 0.0000, 8.0000, 0.0000, 13.5957, -0.0000, -825.00, -1745.39
0.4200, 0.0000, 8.0000, 0.0000, 13.5972, -0.0000, -824.99, -1564.88
0.4400, 0.0000, 8.0000, 0.0000, 13.5972, -0.0000, -825.00, -3576.31
0.4600, 0.0000, 8.0000, 0.0000, 13.5972, -0.0000, -825.00, -146.57
0.4800, 0.0000, 8.0000, 0.0000, 13.5987, -0.0000, -825.00, 2277.46
0.5000, 0.0000, 8.0000, 0.0000, 13.5987, -0.0000, -825.00, -1332.79
0.5200, 0.0000, 8.0000, 0.0000, 13.6003, -0.0000, -825.00, -765.47
0.5400, 0.0000, 8.0000, 0.0000, 13.6003, -0.0000, -825.00, 1323.32
0.5600, 0.0000, 8.0000, 0.0000, 13.6018, -0.0000, -825.00, -275.50
0.5800, 0.0000, 8.0000, 0.0000, 13.6018, -0.0000, -825.00, -3988.91
0.6000, 0.0000, 8.0000, 0.0000, 13.6033, -0.0000, -825.00, -2673.75
