t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0200, 0.2149, -0.1197, 0.0000, 0.0015, 0.0047, -825.00, -2854.26
0.0400, 0.2149, -0.1197, 0.0000, 0.0015, 0.0017, -825.00, -3241.07
0.0600, 0.2149, -0.1197, 0.0000, 0.0015, 0.0006, -825.00, 1117.02
0.0800, 0.2149, -0.1197, 0.0000, 0.0015, 0.0002, -825.00, 1632.77
0.1000, 0.2149, -0.1197, 0.0000, 0.0015, 0.0001, -825.00, 1916.44
0.1200, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -507.59
0.1400, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -1796.97
0.1600, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -2802.68
0.1800, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -1487.52
0.2000, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -1126.49
0.2200, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -636.53
0.2400, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -2029.06
0.2600, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -2519.02
0.2800, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -2905.83
0.3000, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -1435.94
0.3200, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -352.87
0.3400, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, 343.40
0.3600, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -945.98
0.3800, 0.2149, -0.1197, 0.0000, 0.0015, 0.0000, -825.00, -1539.09
0.4000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0599, -825.00, -352.87
0.4200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0220, -825.00, 343.40
0.4400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0081, -825.00, 627.06
0.4600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0030, -825.00, -352.87
0.4800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0011, -825.00, -791.25
0.5000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0004, -825.00, -198.14
0.5200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0001, -825.00, 678.64
0.5400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0001, -825.00, 1091.24
0.5600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, 1426.47
0.5800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -249.72
0.6000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1410.16
0.6200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1719.61
0.6400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, 214.46
0.6600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -662.32
0.6800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -971.77
0.7000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2003.27
0.7200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -404.44
0.7400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -817.04
0.7600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -327.08
0.7800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1203.86
0.8000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1410.16
0.8200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1487.52
0.8400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -842.83
0.8600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1771.18
0.8800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -3266.86
0.9000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2802.68
0.9200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1410.16
0.9400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -327.08
0.9600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -584.95
0.9800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -301.29
1.0000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, 111.31
1.0200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -17.63
1.0400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1358.58
1.0600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2570.60
1.0800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -3344.22
1.1000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -4117.85
1.1200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2080.63
1.1400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2132.21
1.1600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2157.99
1.1800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2699.53
1.2000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1951.69
1.2200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -817.04
1.2400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -636.53
1.2600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2261.14
1.2800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2364.29
1.3000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2983.20
1.3200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2596.38
1.3400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -2957.41
1.3600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -3911.55
1.3800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -4092.06
1.4000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -3988.91
1.4200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, 2380.61
1.4400, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, 2303.25
1.4600, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -3756.82
1.4800, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1203.86
1.5000, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -1281.22
1.5200, 0.0006, -0.2235, 0.0022, 0.0015, 0.0000, -825.00, -842.83
