t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0040, 18.0000, -13.1891, -0.0392, 0.1930, -2.0750, -824.11, 1296.53
0.0120, 18.0000, -13.1891, -0.0392, 0.1930, -1.3907, -824.40, -3344.73
0.0200, 18.0000, -13.1891, -0.0392, 0.1930, -0.9320, -824.60, -584.45
0.0280, 18.0000, -13.1891, -0.0392, 0.1930, -0.6247, -824.73, 447.96
0.0360, 18.0000, -13.0696, -0.0392, 0.1915, -0.4186, -824.83, -969.55
0.0440, 18.0000, -12.9659, -0.0414, 0.1915, -0.3791, -824.88, 1042.68
0.0520, 18.0000, -12.8464, -0.0414, 0.1900, -0.2541, -824.93, 373.01
0.0600, 18.0000, -12.7269, -0.0414, 0.1884, -0.1703, -824.96, -3417.05
0.0680, 18.0000, -12.5037, -0.0436, 0.1869, -0.2033, -824.98, 1870.10
0.0760, 18.0000, -12.3842, -0.0436, 0.1854, -0.1363, -824.99, 1947.56
0.0840, 18.0000, -12.1610, -0.0458, 0.1838, -0.1720, -825.00, 245.38
0.0920, 18.0000, -11.8183, -0.0479, 0.1808, -0.2242, -825.01, 1844.11
0.1000, 18.0000, -11.6988, -0.0479, 0.1792, -0.1503, -825.02, 941.35
0.1080, 18.0000, -11.3561, -0.0501, 0.1762, -0.1899, -825.02, -1095.97
0.1160, 18.0000, -11.0135, -0.0523, 0.1731, -0.2362, -825.03, 1869.40
0.1240, 18.0000, -10.8940, -0.0523, 0.1716, -0.1583, -825.03, -3778.18
0.1320, 18.0000, -10.5513, -0.0545, 0.1685, -0.1953, -825.03, 1740.26
0.1400, 18.0000, -10.2086, -0.0566, 0.1654, -0.2398, -825.03, 2359.06
0.1480, 18.0000, -9.7464, -0.0588, 0.1609, -0.2697, -825.04, -1509.18
0.1560, 18.0000, -9.5074, -0.0588, 0.1578, -0.1807, -825.04, -39.39
0.1640, 18.0000, -9.1647, -0.0610, 0.1547, -0.2103, -825.04, 1636.70
0.1720, 18.0000, -8.8220, -0.0632, 0.1517, -0.2395, -825.04, -220.10
0.1800, 18.0000, -8.4636, -0.0632, 0.1471, -0.1605, -825.05, 1945.95
0.1880, 18.0000, -8.1209, -0.0654, 0.1440, -0.1883, -825.05, 11.79
0.1960, 18.0000, -7.6587, -0.0675, 0.1394, -0.2248, -825.05, -1019.82
0.2040, 18.0000, -7.3002, -0.0675, 0.1348, -0.1506, -825.05, -2206.14
0.2120, 18.0000, -6.9575, -0.0697, 0.1317, -0.1816, -825.05, -1174.64
0.2200, 18.0000, -6.4954, -0.0719, 0.1272, -0.2109, -825.05, 11.48
0.2280, 18.0000, -6.1369, -0.0719, 0.1226, -0.1414, -825.06, -659.09
0.2360, 18.0000, -5.6747, -0.0741, 0.1180, -0.1839, -825.06, -2825.25
0.2440, 18.0000, -5.3162, -0.0741, 0.1134, -0.1233, -825.06, -2747.99
0.2520, 18.0000, -4.8541, -0.0763, 0.1088, -0.1633, -825.06, -324.06
0.2600, 18.0000, -4.4956, -0.0763, 0.1042, -0.1095, -825.06, -169.33
0.2680, 17.9657, -4.0334, -0.0784, 0.0996, -0.1719, -825.06, -1278.30
0.2760, 17.4921, -3.6749, -0.0784, 0.0950, -0.1152, -825.06, 2177.23
0.2840, 17.0184, -3.3165, -0.0784, 0.0904, -0.0772, -825.06, -2877.23
0.2920, 16.3868, -2.8385, -0.0784, 0.0843, -0.0518, -825.07, -3109.41
0.3000, 15.9132, -2.4800, -0.0784, 0.0797, -0.0347, -825.06, 1661.18
0.3080, 15.6535, -2.0178, -0.0806, 0.0751, -0.1039, -825.06, 500.64
0.3160, 15.0219, -1.5399, -0.0806, 0.0689, -0.0697, -825.07, 2099.27
0.3240, 14.5483, -1.1814, -0.0806, 0.0643, -0.0467, -825.07, -2955.19
0.3320, 13.9167, -0.7034, -0.0806, 0.0582, -0.0313, -825.07, 10.17
0.3400, 13.2291, -0.4487, -0.0784, 0.0536, 0.0682, -825.07, -789.44
0.3480, 12.7554, -0.0902, -0.0784, 0.0490, 0.0457, -825.07, -3523.12
0.3560, 12.1239, 0.3878, -0.0784, 0.0429, 0.0306, -825.07, 1995.31
0.3640, 11.4362, 0.6425, -0.0763, 0.0383, 0.1295, -825.07, -2466.14
0.3720, 10.8047, 1.1205, -0.0763, 0.0322, 0.0868, -825.07, -1383.26
0.3800, 10.1170, 1.3753, -0.0741, 0.0276, 0.1671, -825.07, -1177.16
0.3880, 9.6434, 1.7337, -0.0741, 0.0230, 0.1120, -825.07, -3008.18
